id	66_D0 	66_D28 	66_D4 	66_D7 	68_D0 	68_D28 	68_D4 	68_D7 	69_D0 	69_D28 	69_D4 	69_D7 	70_D0 	70_D14 	70_D28 	70_D35 	70_D4 	70_D7 	71_D0 	71_D14 	71_D28 	71_D35 	71_D4 	71_D7 	72_D0 	72_D14 	72_D28 	72_D35 	72_D4 	72_D7 
ENSMMUG00000000001	83	43	71	142	25	49	79	100	65	14	90	121	33	36	3	28	27	38	36	31	21	33	27	51	42	24	31	50	32	25
ENSMMUG00000000002	2	0	2	0	0	3	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	1	0	5	0	0	2	1	0
ENSMMUG00000000004	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMMUG00000000005	434	548	550	389	258	497	535	240	413	288	658	319	148	197	116	194	242	245	143	142	219	152	190	369	179	197	72	190	205	196
ENSMMUG00000000006	0	0	1	2	0	0	2	3	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMMUG00000000007	134	113	225	85	183	150	140	34	286	70	204	44	267	144	137	237	152	134	136	127	131	209	146	150	104	116	44	164	80	39
ENSMMUG00000000009	49104	36308	50057	41337	24286	44236	48706	27512	27077	13984	51802	51502	29407	38258	16629	23478	37640	34357	26988	25312	29887	14885	26957	30766	17995	18224	8533	23069	19548	15796
ENSMMUG00000000010	249	447	266	338	160	383	254	349	183	157	301	444	196	207	190	192	182	187	123	148	357	137	145	240	101	181	113	134	109	129
ENSMMUG00000000012	582	766	303	178	595	908	347	127	693	592	284	98	360	338	342	486	282	285	259	461	852	462	297	490	305	311	133	391	469	287
ENSMMUG00000000013	818	460	399	366	604	496	515	148	438	255	554	284	507	817	286	747	1147	656	980	653	467	533	568	630	480	490	263	494	364	506
ENSMMUG00000000014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000015	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	1	0	5	0	6	1	0	3	0	4	0	2	0	0
ENSMMUG00000000016	1436	1371	949	569	933	1408	853	369	1194	564	748	660	1159	1188	528	906	858	1084	808	784	1069	773	791	954	674	714	312	832	971	586
ENSMMUG00000000017	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSMMUG00000000019	24	16	5	6	5	13	7	8	15	14	13	7	7	12	6	2	3	3	2	10	5	9	8	10	15	18	1	28	18	20
ENSMMUG00000000020	84	48	10	9	25	24	9	16	35	12	6	13	12	39	15	55	30	33	9	10	6	8	5	32	18	61	7	60	32	32
