id	X70_D0	X71_D0	X72_D0	X66_D0	X68_D0	X69_D0	X70_D4	X71_D4	X72_D4	X66_D4	X68_D4	X69_D4	X70_D7	X71_D7	X72_D7	X66_D7	X68_D7	X69_D7	X70_D28	X71_D28	X72_D28	X66_D28	X68_D28	X69_D28
ENSMMUG00000000001	33	36	42	83	25	65	27	27	32	71	79	90	38	51	25	142	100	121	3	21	31	43	49	14
ENSMMUG00000000002	0	0	5	2	0	0	2	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0
ENSMMUG00000000004	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000005	148	143	179	434	258	413	242	190	205	550	535	658	245	369	196	389	240	319	116	219	72	548	497	288
ENSMMUG00000000006	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	2	3	5	0	0	0	0	0	0
ENSMMUG00000000007	267	136	104	134	183	286	152	146	80	225	140	204	134	150	39	85	34	44	137	131	44	113	150	70
ENSMMUG00000000009	29407	26988	17995	49104	24286	27077	37640	26957	19548	50057	48706	51802	34357	30766	15796	41337	27512	51502	16629	29887	8533	36308	44236	13984
ENSMMUG00000000010	196	123	101	249	160	183	182	145	109	266	254	301	187	240	129	338	349	444	190	357	113	447	383	157
ENSMMUG00000000012	360	259	305	582	595	693	282	297	469	303	347	284	285	490	287	178	127	98	342	852	133	766	908	592
ENSMMUG00000000013	507	980	480	818	604	438	1147	568	364	399	515	554	656	630	506	366	148	284	286	467	263	460	496	255
ENSMMUG00000000014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000015	0	5	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	6	0	0	0	0
ENSMMUG00000000016	1159	808	674	1436	933	1194	858	791	971	949	853	748	1084	954	586	569	369	660	528	1069	312	1371	1408	564
