,IVT,Class
c1,Affy,N
c2,Affy,P
c3,Affy,N
c4,Affy,P
c5,Affy,N
c6,Affy,P
c7,Affy,N
c8,Affy,P
c9,Affy,N
c10,Affy,P
c11,Affy,N
c12,Affy,P
c13,Affy,N
c14,Affy,P
c15,Affy,N
c16,Affy,P
c17,Affy,N
c18,Affy,P
c19,Affy,N
c20,Affy,P
c21,Affy,N
c22,Affy,P
c23,Affy,N
c24,Affy,P
c25,Affy,N
c26,Affy,P
c27,Affy,N
c28,Affy,P
c29,Affy,N
c30,Affy,P
c31,Affy,N
c32,Affy,P
c33,Affy,N
c34,Affy,P
c35,Affy,N
c36,Affy,P
c37,Affy,N
c38,Affy,P
c39,Affy,N
c40,Affy,P
c41,Affy,N
c42,Affy,P
c43,Affy,N
c44,Affy,P
c45,Affy,N
c46,Affy,P
c47,Affy,N
c48,Affy,P
c49,Affy,N
c50,Affy,P
c51,Affy,N
c52,Affy,P
c53,Affy,N
c54,Affy,P
c55,Affy,N
c56,Affy,P
c57,Affy,N
c58,Affy,P
c59,Affy,N
c60,Affy,P
c61,Affy,N
c62,Affy,P
c63,Affy,N
c64,Affy,P
c65,Affy,N
c66,Affy,P
c67,Affy,N
c68,Affy,P
c69,Affy,N
c70,Affy,P
c71,Affy,N
c72,Affy,P
c73,Affy,N
c74,Affy,P
c75,Affy,N
c76,Affy,P
c77,Affy,N
c78,Affy,P
c79,Affy,N
c80,Affy,P
c81,Affy,N
c82,Affy,P
c83,Affy,N
c84,Affy,P
c85,Affy,N
c86,Affy,P
c87,Affy,N
c88,Affy,P
c89,Affy,N
c90,Affy,P
c91,Affy,N
c92,Affy,P
c93,Affy,N
c94,Affy,P
c95,Affy,N
c96,Affy,P
c97,Affy,N
c98,Affy,P
c99,Affy,N
c100,Affy,P
c101,Affy,N
c102,Affy,P
c103,Affy,N
c104,Affy,P
c105,Affy,N
c106,Affy,P
c107,Affy,N
c108,Affy,P
c109,Affy,N
c110,Affy,P
c111,Affy,N
c112,Affy,P
c113,Affy,N
c114,Affy,P
c115,Affy,N
c116,Affy,P
c117,Affy,N
c118,Affy,P
c119,Affy,N
c120,Affy,P
c121,Affy,N
c122,Affy,P
c123,Affy,N
c124,Affy,P
