,IVT,Class
c1,Affy,P
c2,Affy,P
c3,Affy,P
c4,Affy,P
c5,Affy,P
c6,Affy,P
c7,Affy,N
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,N
c13,Affy,N
c14,Affy,N
c15,Affy,P
c16,Affy,N
c17,Affy,P
c18,Affy,P
c19,Affy,P
c20,Affy,N
c21,Affy,N
c22,Affy,N
c23,Affy,N
c24,Affy,N
c25,Affy,N
c26,Affy,P
c27,Affy,N
c28,Affy,P
c29,Affy,N
c30,Affy,P
c31,Affy,P
c32,Affy,P
c33,Affy,N
c34,Affy,N
c35,Affy,P
c36,Affy,P
c37,Affy,N
c38,Affy,P
c39,Affy,P
c40,Affy,P
c41,Affy,P
c42,Affy,N
c43,Affy,P
c44,Affy,P
c45,Affy,N
