GeneID,startLoc,endLoc
79501,69091,70008
102725121,181049,184258
729759,450740,451678
105378947,586287,611297
81399,683910,720118
107984841,733140,744657
107985728,921013,924937
148398,925741,944581
26155,944203,959299
339451,960103,965719
84069,965820,975108
84808,975198,982117
57801,998962,1001052
9636,1013467,1014540
375790,1020102,1056119
401934,1065635,1074307
54991,1081811,1116356
254173,1173898,1197936
8784,1203508,1207900
7293,1211326,1216812
51150,1216908,1232067
126792,1232249,1235041
388581,1242446,1247218
118424,1253912,1273854
6339,1280415,1292029
116983,1292384,1307925
126789,1308562,1311677
54973,1311585,1324687
80772,1324756,1328896
83756,1331324,1335320
1855,1335278,1349142
54587,1352689,1363541
54998,1373730,1375438
81669,1385711,1399338
55052,1401896,1407313
441869,1418420,1422561
643965,1426128,1427787
107985729,1433233,1435626
64856,1435523,1442882
219293,1449689,1470158
83858,1471732,1509466
55210,1512143,1534687
339453,1534778,1540360
29101,1541673,1574882
643988,1598008,1600096
142678,1615188,1630610
8510,1631681,1634654
984,1635226,1659839
728661,1661478,1692804
728642,1702383,1724565
9906,1724838,1745999
65220,1751232,1780514
2782,1785285,1891117
105378949,1891057,1892722
163688,1913751,1917294
339456,1917590,1919301
85452,1921951,2003837
2563,2019329,2030753
5590,2050470,2185395
100506504,2181811,2184176
199990,2184460,2212720
105378592,2207597,2215193
6497,2228695,2310213
79906,2321253,2391751
11079,2391314,2405444
5192,2404802,2412622
9651,2412481,2505530
55229,2508531,2526628
388585,2528745,2530554
8764,2555767,2565622
127281,2586750,2591469
79258,2590639,2633042
100287898,2636988,2789737
140625,3021482,3022903
63976,3069025,3438621
27237,3454583,3481115
1953,3487942,3624757
127262,3624992,3630131
49856,3630767,3650107
7161,3652565,3736201
148870,3752398,3771645
388588,3772761,3775982
57470,3780220,3796504
9731,3812081,3857387
1677,3857143,3885429
339448,3889133,3900293
55966,4654775,4792518
261734,5862808,5992473
8514,5992298,6101193
26038,6101787,6180134
6146,6185020,6199619
388591,6205475,6221299
23463,6221193,6235984
390992,6244192,6245578
387509,6247346,6260975
11332,6264272,6393766
54626,6415232,6419919
83715,6424776,6461367
8718,6461151,6466195
57449,6466092,6520061
79707,6521347,6554598
80835,6555278,6579757
3104,6579991,6589280
9903,6590724,6602898
148479,6613696,6624033
90326,6624645,6635586
55735,6634168,6701906
23261,6785324,7769706
9341,7771269,7781432
8863,7784285,7845181
10911,7846345,7913615
3604,7915871,7943165
11315,7961654,7985282
54206,8011719,8026333
50651,8318085,8344167
473,8352404,8826226
2023,8861000,8879092
765,8945786,8975092
