,IVT,Class
c1,Affy,P
c2,Affy,N
c3,Affy,N
c4,Affy,N
c5,Affy,N
c6,Affy,N
c7,Affy,N
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,N
c13,Affy,P
c14,Affy,N
c15,Affy,N
c16,Affy,P
c17,Affy,P
c18,Affy,P
c19,Affy,N
c20,Affy,P
c21,Affy,P
c22,Affy,N
c23,Affy,N
c24,Affy,P
c25,Affy,N
c26,Affy,N
c27,Affy,P
c28,Affy,N
c29,Affy,P
c30,Affy,N
c31,Affy,P
c32,Affy,N
c33,Affy,P
c34,Affy,P
c35,Affy,P
c36,Affy,N
c37,Affy,P
c38,Affy,N
c39,Affy,N
c40,Affy,N
c41,Affy,P
c42,Affy,N
c43,Affy,N
c44,Affy,N
c45,Affy,N
c46,Affy,P
c47,Affy,N
c48,Affy,N
c49,Affy,N
c50,Affy,N
c51,Affy,N
c52,Affy,P
c53,Affy,N
c54,Affy,N
c55,Affy,N
c56,Affy,P
c57,Affy,N
c58,Affy,P
c59,Affy,N
c60,Affy,N
c61,Affy,N
c62,Affy,N
c63,Affy,P
c64,Affy,N
c65,Affy,N
c66,Affy,N
c67,Affy,P
c68,Affy,P
c69,Affy,P
c70,Affy,N
c71,Affy,P
c72,Affy,N
c73,Affy,P
c74,Affy,N
c75,Affy,N
c76,Affy,N
c77,Affy,N
c78,Affy,N
c79,Affy,N
c80,Affy,N
c81,Affy,N
c82,Affy,N
c83,Affy,N
c84,Affy,N
c85,Affy,N
c86,Affy,N
c87,Affy,N
c88,Affy,N
c89,Affy,N
c90,Affy,N
c91,Affy,N
c92,Affy,N
c93,Affy,N
