,IVT,Class
c1,Affy,N
c2,Affy,P
c3,Affy,N
c4,Affy,N
c5,Affy,N
c6,Affy,N
c7,Affy,P
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,N
c13,Affy,N
c14,Affy,P
c15,Affy,N
c16,Affy,N
c17,Affy,N
c18,Affy,N
c19,Affy,N
c20,Affy,N
c21,Affy,P
c22,Affy,N
c23,Affy,N
c24,Affy,N
c25,Affy,P
c26,Affy,N
c27,Affy,P
c28,Affy,N
c29,Affy,N
c30,Affy,N
c31,Affy,N
c32,Affy,N
c33,Affy,N
c34,Affy,N
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,P
c39,Affy,N
c40,Affy,P
c41,Affy,N
c42,Affy,P
c43,Affy,P
c44,Affy,N
c45,Affy,P
c46,Affy,N
c47,Affy,N
c48,Affy,N
c49,Affy,P
c50,Affy,N
c51,Affy,P
c52,Affy,N
c53,Affy,P
c54,Affy,N
c55,Affy,N
c56,Affy,N
c57,Affy,N
c58,Affy,N
c59,Affy,N
c60,Affy,N
c61,Affy,N
c62,Affy,N
c63,Affy,P
c64,Affy,N
c65,Affy,P
c66,Affy,N
c67,Affy,N
c68,Affy,N
c69,Affy,N
c70,Affy,N
c71,Affy,N
c72,Affy,P
c73,Affy,N
c74,Affy,N
c75,Affy,N
c76,Affy,N
c77,Affy,P
c78,Affy,N
c79,Affy,N
c80,Affy,N
c81,Affy,N
c82,Affy,N
c83,Affy,N
c84,Affy,N
c85,Affy,N
c86,Affy,N
c87,Affy,N
c88,Affy,N
c89,Affy,N
c90,Affy,N
c91,Affy,N
c92,Affy,N
c93,Affy,N
c94,Affy,N
c95,Affy,N
c96,Affy,N
c97,Affy,N
c98,Affy,N
c99,Affy,N
c100,Affy,N
c101,Affy,N
c102,Affy,N
c103,Affy,N
c104,Affy,N
c105,Affy,P
c106,Affy,N
c107,Affy,N
c108,Affy,P
c109,Affy,N
c110,Affy,P
c111,Affy,N
c112,Affy,N
c113,Affy,N
c114,Affy,N
c115,Affy,N
c116,Affy,P
c117,Affy,N
c118,Affy,P
c119,Affy,N
c120,Affy,N
c121,Affy,P
c122,Affy,N
c123,Affy,N
c124,Affy,N
c125,Affy,N
