,IVT,Class
c1,Affy,P
c2,Affy,P
c3,Affy,P
c4,Affy,P
c5,Affy,P
c6,Affy,P
c7,Affy,P
c8,Affy,P
c9,Affy,P
c10,Affy,P
c11,Affy,P
c12,Affy,P
c13,Affy,P
c14,Affy,P
c15,Affy,P
c16,Affy,P
c17,Affy,P
c18,Affy,P
c19,Affy,P
c20,Affy,P
c21,Affy,P
c22,Affy,N
c23,Affy,N
c24,Affy,N
c25,Affy,N
c26,Affy,N
c27,Affy,N
c28,Affy,N
c29,Affy,N
c30,Affy,N
c31,Affy,N
c32,Affy,N
c33,Affy,N
c34,Affy,N
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,N
c39,Affy,N
c40,Affy,N
c41,Affy,N
c42,Affy,N
c43,Affy,N
c44,Affy,N
c45,Affy,N
c46,Affy,N
c47,Affy,N
c48,Affy,N
c49,Affy,N
c50,Affy,N
c51,Affy,N
c52,Affy,N
c53,Affy,N
c54,Affy,N
c55,Affy,N
c56,Affy,N
c57,Affy,N
c58,Affy,N
c59,Affy,N
c60,Affy,N
