,IVT,Class
c1,Affy,N
c2,Affy,N
c3,Affy,N
c4,Affy,N
c5,Affy,N
c6,Affy,N
c7,Affy,N
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,N
c13,Affy,N
c14,Affy,N
c15,Affy,N
c16,Affy,N
c17,Affy,N
c18,Affy,N
c19,Affy,N
c20,Affy,N
c21,Affy,N
c22,Affy,N
c23,Affy,N
c24,Affy,N
c25,Affy,N
c26,Affy,N
c27,Affy,N
c28,Affy,N
c29,Affy,N
c30,Affy,N
c31,Affy,N
c32,Affy,N
c33,Affy,N
c34,Affy,N
c35,Affy,N
c36,Affy,N
c37,Affy,P
c38,Affy,P
c39,Affy,P
c40,Affy,P
c41,Affy,P
c42,Affy,P
c43,Affy,P
c44,Affy,P
c45,Affy,P
c46,Affy,P
c47,Affy,P
c48,Affy,P
c49,Affy,P
c50,Affy,P
c51,Affy,P
c52,Affy,P
c53,Affy,P
c54,Affy,P
c55,Affy,P
c56,Affy,P
c57,Affy,P
c58,Affy,P
c59,Affy,P
c60,Affy,P
c61,Affy,P
c62,Affy,P
c63,Affy,P
c64,Affy,P
c65,Affy,P
c66,Affy,P
c67,Affy,P
c68,Affy,P
c69,Affy,P
c70,Affy,P
c71,Affy,P
c72,Affy,P
c73,Affy,P
c74,Affy,P
c75,Affy,P
c76,Affy,P
c77,Affy,P
c78,Affy,P
c79,Affy,P
c80,Affy,P
c81,Affy,P
c82,Affy,P
c83,Affy,P
c84,Affy,P
c85,Affy,P
c86,Affy,P
c87,Affy,P
c88,Affy,P
c89,Affy,P
c90,Affy,P
c91,Affy,P
c92,Affy,P
c93,Affy,P
c94,Affy,P
c95,Affy,P
c96,Affy,P
c97,Affy,P
c98,Affy,P
c99,Affy,P
c100,Affy,P
c101,Affy,P
c102,Affy,P
c103,Affy,P
c104,Affy,P
c105,Affy,P
c106,Affy,P
c107,Affy,P
c108,Affy,P
c109,Affy,P
c110,Affy,P
c111,Affy,P
c112,Affy,P
c113,Affy,P
c114,Affy,P
c115,Affy,P
c116,Affy,P
c117,Affy,P
c118,Affy,P
c119,Affy,P
c120,Affy,P
c121,Affy,P
c122,Affy,P
c123,Affy,P
c124,Affy,P
c125,Affy,P
c126,Affy,P
c127,Affy,P
c128,Affy,P
c129,Affy,P
c130,Affy,P
c131,Affy,P
c132,Affy,P
c133,Affy,P
c134,Affy,P
c135,Affy,P
c136,Affy,P
c137,Affy,P
c138,Affy,P
c139,Affy,P
c140,Affy,P
c141,Affy,P
c142,Affy,P
c143,Affy,P
c144,Affy,P
c145,Affy,P
c146,Affy,P
c147,Affy,P
c148,Affy,P
c149,Affy,P
c150,Affy,P
c151,Affy,P
c152,Affy,P
c153,Affy,P
c154,Affy,P
c155,Affy,P
c156,Affy,P
c157,Affy,P
c158,Affy,P
c159,Affy,P
c160,Affy,P
c161,Affy,P
c162,Affy,P
c163,Affy,P
c164,Affy,P
c165,Affy,P
c166,Affy,P
c167,Affy,P
c168,Affy,P
c169,Affy,P
c170,Affy,P
c171,Affy,P
c172,Affy,P
c173,Affy,P
