,IVT,Class
c1,Affy,N
c2,Affy,P
c3,Affy,P
c4,Affy,P
c5,Affy,P
c6,Affy,N
c7,Affy,P
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,P
c13,Affy,N
c14,Affy,N
c15,Affy,N
c16,Affy,N
c17,Affy,N
c18,Affy,P
c19,Affy,P
c20,Affy,P
c21,Affy,P
c22,Affy,P
c23,Affy,P
c24,Affy,P
c25,Affy,P
c26,Affy,P
c27,Affy,P
c28,Affy,N
c29,Affy,N
c30,Affy,N
c31,Affy,N
c32,Affy,N
c33,Affy,N
c34,Affy,N
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,N
c39,Affy,N
c40,Affy,N
c41,Affy,N
c42,Affy,N
c43,Affy,N
c44,Affy,N
c45,Affy,N
c46,Affy,N
c47,Affy,P
c48,Affy,P
c49,Affy,P
c50,Affy,P
c51,Affy,P
c52,Affy,P
c53,Affy,P
c54,Affy,P
c55,Affy,P
c56,Affy,N
c57,Affy,N
c58,Affy,N
c59,Affy,N
c60,Affy,N
c61,Affy,N
c62,Affy,P
c63,Affy,P
c64,Affy,P
c65,Affy,P
