,IVT,Class
c1,Affy,N
c2,Affy,N
c3,Affy,N
c4,Affy,N
c5,Affy,N
c6,Affy,N
c7,Affy,N
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,N
c13,Affy,N
c14,Affy,N
c15,Affy,N
c16,Affy,N
c17,Affy,N
c18,Affy,N
c19,Affy,N
c20,Affy,N
c21,Affy,P
c22,Affy,P
c23,Affy,P
c24,Affy,P
c25,Affy,P
c26,Affy,P
c27,Affy,P
c28,Affy,P
c29,Affy,P
c30,Affy,P
c31,Affy,P
c32,Affy,P
c33,Affy,P
c34,Affy,P
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,N
c39,Affy,N
c40,Affy,N
c41,Affy,N
c42,Affy,N
c43,Affy,N
c44,Affy,N
c45,Affy,N
c46,Affy,N
c47,Affy,N
c48,Affy,N
c49,Affy,N
c50,Affy,N
c51,Affy,N
c52,Affy,N
c53,Affy,N
c54,Affy,N
c55,Affy,N
c56,Affy,N
c57,Affy,N
c58,Affy,N
c59,Affy,N
c60,Affy,N
c61,Affy,N
c62,Affy,P
c63,Affy,P
c64,Affy,P
c65,Affy,P
c66,Affy,P
c67,Affy,P
c68,Affy,P
c69,Affy,P
c70,Affy,P
c71,Affy,P
c72,Affy,P
