,IVT,Class
c1,Affy,N
c2,Affy,N
c3,Affy,N
c4,Affy,N
c5,Affy,N
c6,Affy,N
c7,Affy,N
c8,Affy,N
c9,Affy,N
c10,Affy,N
c11,Affy,N
c12,Affy,N
c13,Affy,N
c14,Affy,N
c15,Affy,N
c16,Affy,N
c17,Affy,N
c18,Affy,N
c19,Affy,N
c20,Affy,N
c21,Affy,N
c22,Affy,N
c23,Affy,N
c24,Affy,N
c25,Affy,N
c26,Affy,N
c27,Affy,N
c28,Affy,N
c29,Affy,N
c30,Affy,N
c31,Affy,N
c32,Affy,N
c33,Affy,N
c34,Affy,N
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,N
c39,Affy,N
c40,Affy,N
c41,Affy,N
c42,Affy,N
c43,Affy,N
c44,Affy,N
c45,Affy,N
c46,Affy,N
c47,Affy,N
c48,Affy,N
c49,Affy,N
c50,Affy,N
c51,Affy,P
c52,Affy,P
c53,Affy,P
c54,Affy,P
c55,Affy,P
c56,Affy,P
c57,Affy,P
c58,Affy,P
c59,Affy,P
c60,Affy,P
c61,Affy,P
c62,Affy,P
c63,Affy,P
c64,Affy,P
c65,Affy,P
c66,Affy,P
c67,Affy,P
c68,Affy,P
c69,Affy,P
c70,Affy,P
c71,Affy,P
c72,Affy,P
c73,Affy,P
c74,Affy,P
c75,Affy,P
c76,Affy,P
c77,Affy,P
c78,Affy,P
c79,Affy,P
c80,Affy,P
c81,Affy,P
c82,Affy,P
c83,Affy,P
c84,Affy,P
c85,Affy,P
c86,Affy,P
c87,Affy,P
c88,Affy,P
c89,Affy,P
c90,Affy,P
c91,Affy,P
c92,Affy,P
c93,Affy,P
c94,Affy,P
c95,Affy,P
c96,Affy,P
c97,Affy,P
c98,Affy,P
c99,Affy,P
c100,Affy,P
c101,Affy,P
c102,Affy,P
