,IVT,Class
c1,Affy,N
c2,Affy,P
c3,Affy,P
c4,Affy,P
c5,Affy,P
c6,Affy,P
c7,Affy,P
c8,Affy,P
c9,Affy,P
c10,Affy,P
c11,Affy,N
c12,Affy,P
c13,Affy,P
c14,Affy,N
c15,Affy,P
c16,Affy,N
c17,Affy,P
c18,Affy,N
c19,Affy,N
c20,Affy,N
c21,Affy,P
c22,Affy,P
c23,Affy,P
c24,Affy,N
c25,Affy,P
c26,Affy,P
c27,Affy,N
c28,Affy,P
c29,Affy,P
c30,Affy,N
c31,Affy,P
c32,Affy,P
c33,Affy,P
c34,Affy,P
c35,Affy,N
c36,Affy,N
c37,Affy,N
c38,Affy,P
c39,Affy,P
c40,Affy,P
c41,Affy,P
c42,Affy,N
c43,Affy,P
c44,Affy,P
c45,Affy,N
c46,Affy,N
c47,Affy,N
c48,Affy,P
c49,Affy,N
c50,Affy,P
c51,Affy,P
c52,Affy,N
c53,Affy,N
c54,Affy,P
c55,Affy,P
c56,Affy,P
c57,Affy,P
c58,Affy,P
c59,Affy,P
c60,Affy,P
c61,Affy,P
c62,Affy,N
c63,Affy,P
c64,Affy,P
c65,Affy,P
c66,Affy,N
c67,Affy,N
c68,Affy,P
c69,Affy,N
c70,Affy,P
c71,Affy,P
c72,Affy,P
c73,Affy,P
c74,Affy,N
c75,Affy,N
c76,Affy,P
c77,Affy,P
c78,Affy,N
c79,Affy,N
c80,Affy,P
c81,Affy,P
c82,Affy,P
c83,Affy,P
c84,Affy,P
c85,Affy,N
c86,Affy,P
c87,Affy,P
c88,Affy,P
c89,Affy,N
c90,Affy,N
c91,Affy,P
c92,Affy,N
c93,Affy,P
c94,Affy,P
c95,Affy,P
c96,Affy,P
c97,Affy,N
c98,Affy,N
c99,Affy,P
c100,Affy,N
