,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.671740506329,0.590414232392,0.469038461538,0.716290976956,0.7302969815
chromosome_20,0.7302969815,0.657446851672,0.596551444336,0.483221356702,0.720153765011,0.7302969815
chromosome_15,0.7302969815,0.669033187277,0.612063047712,0.488253813697,0.723967461863,0.7302969815
chromosome_10,0.7302969815,0.696020366764,0.587769393054,0.4807375852,0.711131126258,0.7302969815
chromosome_12,0.7302969815,0.667894758195,0.621212674456,0.495785053554,0.717493102889,0.7302969815
chromosome_19,0.7302969815,0.66557246024,0.576439467705,0.455386643947,0.730296575787,0.7302969815
chromosome_8,0.7302969815,0.676918208374,0.63876176566,0.580221518987,0.693295602077,0.7302969815
chromosome_4,0.7302969815,0.707540976956,0.598008357676,0.544371957157,0.706228091529,0.7302969815
chromosome_16,0.7302969815,0.66291058098,0.609371551444,0.464296088932,0.71884006816,0.7302969815
chromosome_5,0.7302969815,0.663006329114,0.59445431678,0.505991966894,0.706228497241,0.7302969815
chromosome_13,0.7302969815,0.706260142811,0.632287812399,0.566327491074,0.708791382668,0.7302969815
chromosome_Y,0.7302969815,0.652670804933,0.607175024343,0.639852320675,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.670314021422,0.61344287569,0.51253164557,0.696036189549,0.7302969815
chromosome_21,0.7302969815,0.652637942227,0.608298442064,0.517611570919,0.711243508601,0.7302969815
chromosome_7,0.7302969815,0.676964865303,0.619581304771,0.49857310938,0.715217461863,0.7302969815
chromosome_17,0.7302969815,0.665507546251,0.605541626095,0.47820593963,0.730361489776,0.730361489776
chromosome_X,0.7302969815,0.655154982149,0.572241966894,0.456538055826,0.704849074976,0.7302969815
chromosome_1,0.7302969815,0.660299415774,0.610814670562,0.562144190198,0.684304608893,0.7302969815
chromosome_18,0.7302969815,0.645186627718,0.613106540084,0.514822703668,0.712526371308,0.7302969815
chromosome_3,0.7302969815,0.667893946771,0.581490587472,0.472884209672,0.709977280104,0.7302969815
chromosome_2,0.7302969815,0.666693037975,0.585189061993,0.48193930542,0.723935004869,0.7302969815
chromosome_9,0.7302969815,0.671852077248,0.567481742941,0.508459915612,0.709946040247,0.7302969815
chromosome_22,0.7302969815,0.692076841934,0.590157416423,0.466586335605,0.723951233366,0.7302969815
chromosome_11,0.7302969815,0.672910986693,0.592771015904,0.516360759494,0.711146949043,0.7302969815
