,IVT,Class
c1,Affy,N
c2,Affy,N
c3,Affy,N
c4,Affy,P
c5,Affy,P
c6,Affy,P
c7,Affy,P
c8,Affy,P
c9,Affy,P
c10,Affy,P
c11,Affy,N
c12,Affy,N
c13,Affy,P
c14,Affy,P
c15,Affy,N
c16,Affy,N
c17,Affy,N
c18,Affy,N
c19,Affy,P
c20,Affy,P
c21,Affy,P
c22,Affy,P
c23,Affy,P
c24,Affy,P
c25,Affy,N
c26,Affy,N
c27,Affy,N
c28,Affy,N
c29,Affy,N
c30,Affy,P
c31,Affy,P
c32,Affy,P
c33,Affy,P
c34,Affy,P
c35,Affy,P
c36,Affy,P
c37,Affy,P
c38,Affy,P
c39,Affy,P
c40,Affy,P
c41,Affy,P
c42,Affy,P
c43,Affy,P
c44,Affy,P
c45,Affy,P
c46,Affy,P
c47,Affy,P
c48,Affy,P
c49,Affy,P
c50,Affy,P
c51,Affy,P
c52,Affy,N
c53,Affy,N
c54,Affy,N
c55,Affy,N
c56,Affy,N
c57,Affy,N
c58,Affy,N
c59,Affy,N
c60,Affy,N
c61,Affy,N
c62,Affy,N
c63,Affy,N
c64,Affy,N
c65,Affy,N
c66,Affy,N
c67,Affy,N
c68,Affy,N
c69,Affy,N
c70,Affy,N
c71,Affy,P
c72,Affy,P
c73,Affy,P
c74,Affy,P
c75,Affy,P
c76,Affy,P
c77,Affy,N
c78,Affy,N
c79,Affy,N
c80,Affy,N
c81,Affy,N
c82,Affy,N
c83,Affy,N
c84,Affy,N
c85,Affy,N
c86,Affy,P
c87,Affy,P
c88,Affy,P
c89,Affy,P
c90,Affy,P
c91,Affy,P
c92,Affy,P
c93,Affy,P
c94,Affy,P
c95,Affy,P
c96,Affy,P
c97,Affy,N
c98,Affy,N
c99,Affy,P
c100,Affy,P
c101,Affy,P
