,IVT,Class
c1,Affy,P
c2,Affy,P
c3,Affy,P
c4,Affy,P
c5,Affy,P
c6,Affy,P
c7,Affy,P
c8,Affy,P
c9,Affy,P
c10,Affy,P
c11,Affy,P
c12,Affy,P
c13,Affy,P
c14,Affy,P
c15,Affy,P
c16,Affy,P
c17,Affy,P
c18,Affy,P
c19,Affy,P
c20,Affy,P
c21,Affy,P
c22,Affy,P
c23,Affy,P
c24,Affy,P
c25,Affy,P
c26,Affy,P
c27,Affy,P
c28,Affy,P
c29,Affy,P
c30,Affy,P
c31,Affy,P
c32,Affy,P
c33,Affy,P
c34,Affy,P
c35,Affy,P
c36,Affy,P
c37,Affy,P
c38,Affy,P
c39,Affy,P
c40,Affy,P
c41,Affy,P
c42,Affy,P
c43,Affy,P
c44,Affy,P
c45,Affy,P
c46,Affy,P
c47,Affy,P
c48,Affy,P
c49,Affy,P
c50,Affy,P
c51,Affy,P
c52,Affy,P
c53,Affy,P
c54,Affy,P
c55,Affy,P
c56,Affy,P
c57,Affy,P
c58,Affy,P
c59,Affy,N
c60,Affy,N
c61,Affy,N
c62,Affy,N
c63,Affy,N
c64,Affy,N
c65,Affy,N
c66,Affy,N
c67,Affy,N
c68,Affy,N
c69,Affy,N
c70,Affy,N
c71,Affy,N
c72,Affy,N
c73,Affy,N
c74,Affy,N
c75,Affy,N
c76,Affy,N
c77,Affy,N
