Genes,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
Hsa.13491,12.65703872,12.65703872,12.34361427,12.83988119,12.83988119,11.82799396,12.44432599,11.97838427,12.34361427,12.03401782,10.80830408,12.44432599,13.06849583,12.34361427,12.83988119,11.77686565,11.52325043,12.34361427,12.34361427,11.41062428,12.54138788,12.44432599,11.30076954,12.65703872,11.97838427,12.65703872,12.54138788,13.06849583,12.54138788,12.20955035,12.83988119,10.94505769,11.41062428,12.83988119,12.34361427,12.20955035,13.06849583,11.28240216,13.06849583,12.44432599,13.06849583,12.83988119,11.19828413,10.89912848,12.11268621,10.90885648,11.77686565,11.9366507,12.44432599,12.07438309,12.44432599,12.44432599,12.44432599,12.54138788,12.15132062,12.20955035,12.34361427,12.54138788,12.54138788,12.26332742,12.65703872,12.11268621
Hsa.13492,12.26332742,12.34361427,12.26332742,12.54138788,12.54138788,11.49923365,12.26332742,11.67486278,11.86162025,11.59457594,10.34123042,12.03401782,12.83988119,12.03401782,12.11268621,11.3633593,11.3248409,11.9366507,12.20955035,10.94505769,12.20955035,12.07438309,11.04101204,12.15132062,11.77686565,12.26332742,12.34361427,12.54138788,12.07438309,11.86162025,12.34361427,10.83618846,11.1680032,12.44432599,12.11268621,11.77686565,12.83988119,11.24603756,12.54138788,12.20955035,12.83988119,12.20955035,10.87455307,10.7356637,11.97838427,10.7356637,11.3248409,11.82799396,11.89052177,11.67486278,12.03401782,12.15132062,12.54138788,12.44432599,11.64708896,11.30076954,12.20955035,12.44432599,12.15132062,11.38387506,12.07438309,11.45214598
Hsa.37254,12.20955035,11.74489384,12.20955035,12.07438309,12.65703872,12.65703872,12.83988119,12.54138788,12.65703872,12.83988119,12.65703872,12.54138788,12.07438309,11.67486278,11.67486278,11.3248409,11.71348498,11.97838427,12.54138788,12.83988119,12.15132062,11.86162025,11.08957051,11.89052177,11.49923365,11.9366507,11.86162025,11.82799396,12.11268621,12.11268621,11.86162025,12.26332742,12.07438309,11.74489384,12.07438309,11.07365614,12.54138788,10.80830408,10.65383856,11.52325043,11.02115226,12.11268621,11.82799396,11.9366507,11.54484053,11.67486278,10.90885648,11.24603756,11.71348498,11.30076954,11.71348498,11.04101204,11.14978768,11.56843571,11.86162025,11.89052177,11.86162025,11.45214598,11.3248409,11.45214598,12.11268621,12.03401782
Hsa.541,11.14978768,10.92983537,11.02115226,11.41062428,11.49923365,11.67486278,11.82799396,11.08957051,11.97838427,11.28240216,11.77686565,11.28240216,11.97838427,11.71348498,11.59457594,12.44432599,12.15132062,12.20955035,11.74489384,11.71348498,10.70126957,10.56539695,12.20955035,12.54138788,11.56843571,11.28240216,11.19828413,11.42976375,10.61909998,11.07365614,11.38387506,11.54484053,11.74489384,11.41062428,10.84792936,12.34361427,10.41931121,12.11268621,11.19828413,11.86162025,11.61942862,11.26296974,10.7461311,11.59457594,10.79857266,11.52325043,11.28240216,10.60864622,10.88660755,11.59457594,11.74489384,12.34361427,11.9366507,11.49923365,10.82183402,11.24603756,11.45214598,11.48011655,11.77686565,10.7461311,11.34145471,11.28240216
Hsa1.20836,12.54138788,12.44432599,11.56843571,11.48011655,11.9366507,11.56843571,12.34361427,11.64708896,10.28176237,12.20955035,11.61942862,11.77686565,12.15132062,12.07438309,12.20955035,12.83988119,11.9366507,11.30076954,11.08957051,11.56843571,12.65703872,12.26332742,12.26332742,11.77686565,12.07438309,12.34361427,12.83988119,12.34361427,12.83988119,12.54138788,12.54138788,12.07438309,12.83988119,12.15132062,12.54138788,11.48011655,12.26332742,11.97838427,12.83988119,12.83988119,11.82799396,10.98638845,12.34361427,11.86162025,13.06849583,11.41062428,12.34361427,11.34145471,12.83988119,13.06849583,13.06849583,11.89052177,12.15132062,11.71348498,11.3633593,12.15132062,11.49923365,12.26332742,13.06849583,12.65703872,12.54138788,12.65703872
Hsa.1977,11.30076954,11.86162025,11.19828413,11.04101204,11.42976375,11.19828413,11.89052177,10.88660755,10.71246057,11.97838427,12.44432599,11.26296974,12.20955035,11.97838427,11.14978768,12.07438309,12.11268621,11.24603756,10.77084103,11.59457594,11.61942862,11.89052177,12.11268621,12.03401782,11.71348498,12.20955035,12.44432599,12.11268621,12.65703872,12.03401782,11.74489384,12.34361427,12.15132062,11.61942862,11.48011655,11.3633593,12.03401782,12.34361427,11.82799396,12.26332742,11.07365614,10.9205578,11.67486278,11.42976375,12.44432599,11.48011655,12.03401782,11.86162025,12.20955035,11.97838427,11.86162025,11.24603756,11.1207522,11.1680032,11.82799396,11.9366507,11.05625705,11.86162025,12.26332742,12.44432599,11.54484053,11.49923365
Hsa1.44472,11.77686565,11.3248409,11.49923365,11.22920307,11.97838427,12.26332742,11.54484053,12.03401782,10.97222513,11.56843571,11.13308813,10.84792936,12.26332742,11.82799396,11.82799396,10.60864622,11.86162025,12.44432599,11.97838427,12.07438309,11.82799396,11.49923365,11.97838427,12.34361427,11.9366507,11.04101204,10.97222513,11.49923365,10.51505582,10.89912848,11.1680032,11.38387506,11.52325043,11.9366507,11.00494963,12.15132062,11.49923365,11.59457594,11.22920307,11.28240216,11.52325043,11.9366507,11.14978768,11.48011655,10.84792936,11.64708896,11.56843571,11.05625705,10.53399641,11.1680032,11.49923365,11.61942862,11.77686565,11.61942862,11.28240216,11.13308813,11.19828413,11.42976375,11.64708896,10.03698028,10.80830408,11.13308813
Hsa.3087,12.83988119,12.83988119,12.07438309,12.03401782,12.34361427,11.59457594,12.65703872,12.44432599,12.20955035,11.9366507,12.83988119,12.83988119,11.89052177,11.64708896,11.9366507,11.56843571,12.83988119,12.54138788,12.83988119,11.89052177,12.26332742,12.65703872,11.28240216,11.86162025,11.89052177,12.54138788,12.65703872,12.26332742,12.26332742,12.65703872,12.20955035,12.65703872,12.34361427,11.97838427,12.65703872,11.82799396,12.44432599,11.48011655,10.78710647,12.34361427,11.89052177,12.15132062,10.60864622,12.54138788,12.07438309,11.77686565,11.14978768,11.59457594,12.65703872,12.03401782,12.11268621,12.20955035,12.07438309,11.07365614,12.07438309,10.35891329,11.56843571,11.71348498,11.74489384,12.34361427,11.97838427,12.34361427
Hsa.1447,12.34361427,12.20955035,11.97838427,12.26332742,12.11268621,11.21353984,12.54138788,11.86162025,12.07438309,11.64708896,10.87455307,12.15132062,11.82799396,11.74489384,12.15132062,12.65703872,11.34145471,11.45214598,11.86162025,11.34145471,13.06849583,11.9366507,11.52325043,11.74489384,11.86162025,11.74489384,12.20955035,12.20955035,12.20955035,11.9366507,13.06849583,10.40126887,10.65383856,11.89052177,12.44432599,11.34145471,12.07438309,11.67486278,12.44432599,12.03401782,12.65703872,11.64708896,11.41062428,11.18382795,11.67486278,11.13308813,11.41062428,11.61942862,11.41062428,11.89052177,12.34361427,11.49923365,12.83988119,12.26332742,11.9366507,11.71348498,12.11268621,12.34361427,12.11268621,12.11268621,11.61942862,11.38387506
Hsa.750,11.67486278,10.64331159,11.9366507,11.24603756,11.77686565,12.11268621,10.94505769,12.83988119,12.44432599,11.77686565,11.97838427,11.67486278,11.86162025,11.89052177,12.65703872,12.20955035,12.65703872,11.67486278,12.03401782,11.9366507,11.24603756,11.1207522,12.83988119,11.82799396,11.74489384,11.05625705,10.51505582,11.86162025,10.90885648,10.80830408,12.44432599,12.20955035,12.20955035,12.34361427,11.74489384,11.54484053,11.48011655,11.71348498,11.26296974,11.45214598,11.86162025,11.59457594,10.21779377,11.45214598,11.13308813,11.59457594,12.26332742,10.52482225,10.82183402,11.1207522,10.05457369,11.52325043,11.45214598,11.59457594,11.56843571,11.74489384,11.82799396,11.34145471,12.34361427,9.969444316,11.48011655,11.82799396
Hsa1.45293,10.9205578,10.78710647,11.52325043,10.72223615,11.61942862,12.03401782,11.07365614,11.30076954,10.77084103,11.49923365,11.00494963,10.63090326,11.52325043,11.21353984,11.30076954,10.32452555,11.77686565,12.26332742,11.82799396,11.97838427,11.02115226,10.80830408,11.64708896,12.26332742,11.59457594,10.7356637,10.50361691,11.18382795,10.48088888,10.64331159,10.92983537,11.26296974,11.3248409,11.56843571,10.68987049,11.64708896,11.42976375,11.26296974,10.7461311,10.95857482,11.13308813,11.54484053,10.55617784,10.86317875,10.41931121,11.18382795,10.83618846,10.67584737,10.34968751,10.9205578,11.24603756,11.21353984,11.49923365,11.18382795,11.18382795,10.89912848,11.14978768,11.22920307,11.24603756,10.39133472,10.70126957,10.72223615
Hsa.2555,10.78710647,11.82799396,11.18382795,10.7567274,12.20955035,11.9366507,10.92983537,11.45214598,10.12872777,13.06849583,12.15132062,11.74489384,11.61942862,11.42976375,10.94505769,10.98638845,11.26296974,12.11268621,11.04101204,12.54138788,11.3633593,12.11268621,11.59457594,13.06849583,10.87455307,11.67486278,11.89052177,11.3633593,11.89052177,11.64708896,11.19828413,12.54138788,11.19828413,11.64708896,10.92983537,10.92983537,11.9366507,11.10387059,11.67486278,11.10387059,10.61909998,11.28240216,11.77686565,11.61942862,12.54138788,10.86317875,11.9366507,12.65703872,12.15132062,11.82799396,10.87455307,10.43814862,10.64331159,10.77084103,11.49923365,11.42976375,11.54484053,10.72223615,10.95857482,12.20955035,10.7567274,11.34145471
Hsa.467,10.65383856,11.67486278,10.66370916,11.28240216,11.54484053,12.83988119,10.82183402,12.07438309,11.42976375,12.26332742,10.98638845,12.07438309,11.56843571,11.77686565,11.21353984,11.30076954,10.98638845,12.03401782,11.61942862,12.65703872,10.47031135,11.18382795,11.49923365,12.11268621,11.54484053,10.63090326,10.87455307,11.28240216,10.55617784,10.78710647,11.1207522,11.77686565,11.82799396,11.52325043,10.95857482,11.49923365,10.17819337,11.34145471,12.07438309,11.30076954,11.59457594,12.44432599,12.44432599,11.97838427,11.59457594,12.07438309,11.71348498,12.44432599,11.61942862,12.54138788,11.56843571,12.26332742,11.67486278,12.65703872,11.3248409,12.83988119,11.61942862,10.78710647,11.38387506,11.59457594,10.67584737,12.26332742
Hsa1.539,11.49923365,10.87455307,10.54503826,11.07365614,11.64708896,11.97838427,11.59457594,10.97222513,11.9366507,11.3633593,11.67486278,11.38387506,11.71348498,11.54484053,11.86162025,11.89052177,12.26332742,11.59457594,12.07438309,12.03401782,11.00494963,10.7461311,12.65703872,11.9366507,12.20955035,11.24603756,11.48011655,11.77686565,11.05625705,11.54484053,11.3633593,11.71348498,12.26332742,11.86162025,11.34145471,12.03401782,11.3633593,11.9366507,11.28240216,11.9366507,11.56843571,11.52325043,11.28240216,12.03401782,11.04101204,11.97838427,11.97838427,10.78710647,10.89912848,10.89912848,10.94505769,12.11268621,11.74489384,11.48011655,10.09420563,11.26296974,11.00494963,11.67486278,11.9366507,9.649613721,11.26296974,11.67486278
Hsa1.2357,11.9366507,12.54138788,12.03401782,11.97838427,12.07438309,12.54138788,12.03401782,12.65703872,10.26541277,12.34361427,12.20955035,11.22920307,12.11268621,12.20955035,12.26332742,11.48011655,11.42976375,12.65703872,11.64708896,12.34361427,12.34361427,13.06849583,11.77686565,11.54484053,12.11268621,11.77686565,12.11268621,12.03401782,12.15132062,12.34361427,11.64708896,12.15132062,11.89052177,11.77686565,11.71348498,11.28240216,12.15132062,11.1680032,12.65703872,11.56843571,11.41062428,12.26332742,12.65703872,12.26332742,12.83988119,11.89052177,12.54138788,12.83988119,12.34361427,12.65703872,12.20955035,11.22920307,11.22920307,13.06849583,12.26332742,12.11268621,11.52325043,11.54484053,11.82799396,12.83988119,11.77686565,12.20955035
Hsa.474,11.56843571,10.88660755,10.48088888,10.64331159,11.08957051,11.42976375,10.7567274,11.10387059,11.82799396,10.71246057,11.48011655,10.90885648,11.26296974,11.49923365,11.34145471,10.70126957,11.30076954,11.34145471,11.89052177,11.49923365,11.49923365,11.00494963,11.86162025,11.52325043,11.45214598,11.26296974,10.36667861,11.45214598,11.10387059,10.58717668,11.30076954,11.74489384,11.71348498,11.49923365,11.97838427,12.54138788,10.54503826,12.26332742,11.74489384,11.59457594,11.18382795,11.14978768,11.64708896,11.34145471,11.18382795,12.11268621,12.11268621,10.84792936,11.22920307,12.11268621,11.77686565,12.54138788,11.82799396,11.54484053,11.71348498,11.86162025,11.18382795,11.3633593,12.44432599,11.05625705,11.86162025,11.86162025
Hsa.749,10.79857266,10.94505769,11.59457594,11.10387059,11.48011655,11.52325043,10.90885648,11.9366507,10.90885648,11.52325043,11.1680032,11.02115226,11.05625705,11.3633593,11.13308813,11.08957051,11.22920307,12.15132062,11.71348498,12.20955035,11.19828413,10.68987049,11.56843571,11.97838427,11.1207522,10.16425877,10.12872777,10.80830408,9.809665714,10.30575986,11.28240216,11.1680032,11.02115226,11.45214598,11.59457594,11.74489384,10.24968733,11.08957051,11.05625705,10.7567274,10.71246057,11.18382795,11.1680032,11.54484053,10.89912848,11.30076954,11.18382795,10.92983537,10.29696948,11.54484053,9.880658867,10.59684229,11.34145471,11.45214598,11.26296974,11.21353984,10.98638845,10.64331159,11.59457594,10.58717668,10.51505582,11.1207522
Hsa.24464,10.7567274,11.10387059,10.87455307,10.55617784,11.19828413,10.89912848,11.49923365,10.9205578,9.763245838,11.74489384,12.03401782,11.13308813,11.54484053,11.41062428,10.89912848,10.82183402,11.10387059,10.71246057,10.34968751,11.1207522,11.18382795,11.71348498,12.03401782,11.49923365,11.26296974,11.61942862,12.26332742,11.61942862,11.97838427,11.97838427,11.52325043,11.67486278,11.77686565,10.95857482,11.04101204,11.1207522,11.19828413,11.38387506,11.3248409,11.82799396,10.39133472,9.925144507,11.04101204,11.02115226,11.61942862,10.56539695,11.10387059,11.00494963,11.14978768,11.42976375,11.48011655,10.64331159,10.52482225,10.31740058,11.30076954,10.92983537,10.52482225,11.18382795,11.42976375,11.34145471,11.07365614,11.24603756
Hsa.2597,11.08957051,11.24603756,10.83618846,10.54503826,11.74489384,11.10387059,11.64708896,10.64331159,10.14344946,11.89052177,12.11268621,11.3633593,11.74489384,11.45214598,11.41062428,11.74489384,11.48011655,10.51505582,11.26296974,11.52325043,11.41062428,11.48011655,12.07438309,11.61942862,11.52325043,12.11268621,12.07438309,11.97838427,12.44432599,12.15132062,11.67486278,11.97838427,11.67486278,10.97222513,10.9205578,10.84792936,12.11268621,11.41062428,11.86162025,11.71348498,10.65383856,10.47031135,11.13308813,11.19828413,11.74489384,10.79857266,11.45214598,11.07365614,11.34145471,11.3633593,11.89052177,10.95857482,11.3248409,10.34123042,11.42976375,11.18382795,11.07365614,11.59457594,11.45214598,11.21353984,11.52325043,10.95857482
Hsa.3835,12.07438309,11.77686565,11.41062428,11.77686565,10.92983537,10.82183402,12.15132062,10.83618846,11.77686565,11.3248409,11.89052177,12.34361427,11.04101204,11.24603756,11.54484053,11.86162025,12.34361427,11.71348498,11.67486278,11.30076954,11.89052177,11.38387506,11.54484053,11.48011655,11.1680032,11.64708896,11.77686565,11.54484053,11.61942862,11.56843571,10.98638845,11.89052177,11.9366507,10.89912848,12.03401782,10.89912848,11.59457594,10.68987049,11.18382795,11.97838427,10.98638845,11.24603756,11.89052177,12.34361427,11.9366507,11.74489384,10.63090326,10.89912848,11.97838427,11.86162025,11.9366507,11.9366507,11.64708896,10.32452555,11.52325043,10.72223615,11.3248409,12.11268621,12.03401782,11.26296974,11.89052177,12.07438309
