Golubtemplate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72
AFFX-HUMISGF3A/M97935_3_at,8.060695932,8.54303182,9.055282436,10.51766939,9.344295908,9.348728154,7.366322214,8.370687407,8.326429487,8.413627929,8.303780748,8.159871337,9.118941073,8.312882955,9.438791853,10.56224242,9.908392621,7.098032083,9.353146825,7.321928095,7.982993575,9.62388149,8.271463028,8.87036472,9.56414949,8.303780748,9.164906927,8.558420713,8.463524373,8.044394119,8.257387843,9.35974956,8.897845456,10.3586512,9.638435914,8.758223215,10.52552081,8.696967526,8.915879379,8.686500527,8.581200582,9.17990909,9.554588852,9.243173983,8.055282436,7.247927513,9.603626345,10.54109662,10.71424552,9.296916207,9.659995892,9.033423002,8.531381461,11.46250227,8.658211483,7.257387843,9.214319121,9.364134655,9.556506055,8.951284715,8.97441459,8.562242424,8.539158811,9.495855027,10.42836017,9.491853096,9.337621902,7.658211483,8.724513853,8.204571144,9.055282436,11.96397979
AFFX-HUMGAPDH/M33197_M_at,12.34401844,13.31727128,13.80826035,13.2261111,13.38194845,13.30591924,13.96578428,13.96578428,13.96578428,13.85321207,13.96578428,13.66744423,12.52772134,12.99947157,13.92935089,13.76113565,13.73386272,13.81648371,12.95782756,13.59257383,13.93774162,13.80029326,13.96578428,13.77386037,13.93810933,13.96578428,13.86969023,13.96578428,13.84979602,13.86959384,13.23107114,13.51533025,12.40087944,13.24644372,13.44164739,13.72792045,13.96578428,13.48167332,13.87555739,13.96578428,13.56569713,12.02756048,13.9242558,13.96578428,13.96578428,13.96578428,13.37585398,13.5112585,13.78443037,13.66810937,13.66700063,13.96578428,13.78657594,13.37068741,6.64385619,13.4601999,13.96578428,13.33021664,13.96307669,13.03273453,12.8390069,13.75874372,12.79421277,13.96578428,13.87661287,13.87584532,13.60420572,13.96578428,13.79664804,13.93350625,13.56104923,13.73312127
AFFX-HUMTFRR/M11507_5_at,7.21916852,7.768184325,8.957102042,7.988684687,7.761551232,8.515699838,7.312882955,9.403012024,6.882643049,7.129283017,6.64385619,7.266786541,7.483815777,7.851749041,7.924812504,7.622051819,8.060695932,7.247927513,8.257387843,6.700439718,7.118941073,8.693486957,8.876516947,8.50779464,7.483815777,7.118941073,7.813781191,7.714245518,8.294620749,7.74819285,6.64385619,8.238404739,8.731319031,8.417852515,8.044394119,9.002815016,9.250298418,7.515699838,8.184875343,7.936637939,7.417852515,8.927777962,8.535275377,6.64385619,8.044394119,7.888743249,7.523561956,7.312882955,7.434628228,7.06608919,8.936637939,8.247927513,7.348728154,8.199672345,6.64385619,8.154818109,8.409390936,7.960001932,8.348728154,7.426264755,7.238404739,8.417852515,8.754887502,8.071462363,9.656424863,10.65015421,9.453270634,9.126704473,8.675957033,8.409390936,8.636624621,9.552669098
AFFX-HUMTFRR/M11507_3_at,7.839203788,6.64385619,9.746514321,7.754887502,7.794415866,7.108524457,6.64385619,9.63481105,6.64385619,6.64385619,7.276124405,7.011227255,8.252665432,7.768184325,7.189824559,7.864186145,8.787902559,8.033423002,7.988684687,6.64385619,6.64385619,9.926295995,9.592457037,9.479780264,7.754887502,6.64385619,8.939579214,7.614709844,8.252665432,7.247927513,7.434628228,7.741466986,7.894817763,6.64385619,8.21916852,8.154818109,7.54689446,8.022367813,8.164906927,7.794415866,7.139551352,6.845490051,8.335390355,8.321928095,7.707359132,7.607330314,7.366322214,8.700439718,8.144658243,7.257387843,8.154818109,8.894817763,7.266786541,8.044394119,7.523561956,7.357552005,7.665335917,6.64385619,9.252665432,7.303780748,7.651051691,8.519636253,8.370687407,8.189824559,10.74146699,11.56557814,9.497851837,9.665335917,8.764871591,8.413627929,8.330916878,10.52552081
AFFX-M27830_5_at,12.64790807,6.64385619,7.693486957,7.409390936,10.54206454,13.62296694,8.13442632,9.189824559,13.96578428,13.89320671,13.96578428,13.96578428,8.317412614,8.434628228,8.717676423,7.794415866,7.64385619,6.700439718,8.471675214,7.960001932,8.108524457,11.02236781,10.20701432,6.845490051,6.64385619,6.64385619,6.64385619,6.64385619,6.64385619,7.14974712,8.447083226,10.00842862,7.189824559,7.651051691,12.72067179,11.11309098,11.69913863,11.57837269,10.14210706,11.93147623,12.92202684,12.06238349,12.57790084,6.64385619,10.58025857,12.04950825,6.64385619,9.294620749,11.4372319,6.95419631,6.64385619,11.38909352,7.17990909,8.312882955,6.64385619,12.8761332,12.86360554,7.936637939,13.1492708,8.330916878,12.19260105,9.131856961,10.75905594,9.487840034,10.67507492,11.94617524,10.73978061,8.071462363,7.707359132,11.92146906,11.04507705,9.764871591
AFFX-M27830_M_at,13.96578428,10.98655315,11.33427329,9.733015322,11.53478921,13.73967515,9.579315938,10.41468524,13.26253534,13.58202434,13.90604502,13.96578428,10.74315139,10.3586512,10.65999589,10.26795708,10.91438513,8.8008999,10.8273427,10.40301202,11.14720492,11.89330153,11.10590851,9.733015322,9.625708843,9.859534786,9.939579214,8.936637939,8.807354922,10.60917874,10.83762793,11.45172627,8.693486957,11.60547952,12.67926016,11.90086681,11.70951466,11.25384748,10.04439412,12.14529533,11.30606169,12.14911199,11.93516505,9.055282436,11.78871833,12.6880317,9.8008999,10.79279029,11.80896417,10.11113567,9.816983623,12.58261245,9.945443836,9.832890014,10.30263892,13.00790327,13.34582103,10.06339508,13.24257869,11.20884399,11.85018684,11.13185696,11.7652861,11.21127995,12.05968245,12.71574754,11.36850646,9.929258409,10.9432474,12.32023645,11.58683979,10.65821148
AFFX-M27830_3_at,8.832890014,8.426264755,9.682994584,8.335390355,9.911391988,9.672425342,6.64385619,9.419960178,7.721099189,7.569855608,6.64385619,7.54689446,9.419960178,9.552669098,6.64385619,9.921840937,6.672425342,8.751544059,9.497851837,8.682994584,6.64385619,9.936637939,6.64385619,6.64385619,9.50779464,9.283088353,10.26795708,8.459431619,9.187352073,6.64385619,7.285402219,10.11634396,9.493855449,9.087462841,10.18487534,9.355351096,9.856425529,9.041659152,8.807354922,8.113742166,9.52160044,10.05934446,9.527477006,9.596189756,9.594324604,8.491853096,8.483815777,9.768184325,8.503825738,9.933690655,10.43045255,9.52160044,9.658211483,9.700439718,9.531381461,9.303780748,8.531381461,9.766528909,10.21916852,9.64385619,9.027905997,10.1382718,10.03066714,9.975847968,9.970105891,8.891783703,10.19721669,8.113742166,8.661778098,8.744833837,9.878050913,10.74483384
AFFX-HSAC07/X00351_3_st,9.28077077,9.231221181,10.02375435,9.918863237,10.25029842,11.98797452,10.70390357,10.13185696,10.60917874,9.092757141,9.894817763,11.1959873,9.485829309,9.84862294,10.16867212,9.299208018,9.943979914,9.689997971,9.726218159,10.96217303,11.77272695,9.721099189,9.445014846,9.54689446,10.02097994,9.531381461,10.21674586,10.61930296,9.921840937,9.909893084,10.15860969,12.21310422,10.169925,10.49485558,11.54206454,11.6379833,11.59665567,10.75739001,9.50779464,10.68299458,11.97441459,10.07280253,12.95510498,9.422064766,10.6891244,10.59152235,9.829722735,11.94690627,10.98655315,10.60547952,11.42259043,11.77190208,10.25502857,10.86495992,9.245552706,10.19352536,10.82336724,7.276124405,10.61930296,9.632995197,12.07981809,10.57080444,10.67683861,10.57742883,10.32418055,9.991521846,10.15228484,8.276124405,10.52552081,10.67330908,10.6128685,10.72536626
AFFX-HUMGAPDH/M33197_3_st,6.64385619,8.781359714,7.303780748,6.64385619,8.033423002,8.199672345,7.515699838,7.8008999,7.491853096,6.64385619,6.768184325,8.651051691,7.199672345,7.87036472,6.64385619,6.64385619,6.64385619,7.426264755,7.400879436,7.714245518,9.938109326,9.493855449,8.813781191,8.383704292,6.64385619,8.199672345,6.64385619,7.636624621,7.303780748,7.055282436,6.64385619,9.388017285,8.636624621,6.64385619,9.092757141,9.049848549,9.831307244,8.353146825,6.906890596,9.159871337,8.861086906,8.276124405,9.533329732,7.64385619,8.8008999,9.390168956,7.087462841,8.618385502,8.77148947,7.672425342,7.607330314,8.721099189,7.912889336,8.353146825,6.700439718,8.74819285,8.159871337,6.64385619,9.779719355,7.599912842,8.243173983,9.21916852,8.45532722,8.927777962,8.703903573,9.52160044,8.84862294,6.64385619,8.06608919,8.262094845,8.262094845,8.77148947
AFFX-HSAC07/X00351_M_st,7.592457037,9.366322214,8.764871591,6.64385619,7.055282436,10.05256805,7.754887502,9.011227255,7.375039431,6.64385619,7.14974712,8.614709844,7.276124405,7.451211112,6.672425342,6.64385619,7.515699838,7.727920455,8.918863237,8.027905997,6.741466986,8.724513853,7.721099189,8.994353437,7.098032083,7.839203788,8.409390936,7.882643049,8.62935662,7.055282436,6.64385619,9.424166289,9.044394119,8.14974712,8.392317423,8.707359132,9.571752644,8.997179481,6.64385619,9.461479447,8.807354922,10.06743436,9.189824559,7.523561956,7.960001932,8.184875343,7.339850003,9.194756854,7.888743249,7.348728154,8.668884984,8.77148947,7.276124405,6.64385619,6.64385619,8.82336724,8.50779464,9.005624549,7.971543554,7.930737338,9.335390355,8.375039431,9.319672121,9.417852515,9.262094845,9.691743519,8.603626345,7.294620749,8.997179481,9.20701432,8.784634846,9.984418459
