ID	CPG_ISLAND_LOCATIONS
cg00000292	16 28797486 28797825
cg00002426	3 57716811 57718675
cg00003994	7 15691512 15693551
cg00006414	7 148453584 148455804
cg00007981	11 93501124 93502564
cg00008493	14 92883203 92883973
cg00008713	18 11970322 11972436
cg00009407	14 88360520 88361283
cg00012199	14 20220472 20221241
cg00012386	1 225989127 225990210
cg00012792	6 8008961 8009913
cg00014085	2 85434965 85435723
cg00015770	4 122520698 122521834
cg00021527	17 31159972 31161314
cg00022606	20 390045 391750
cg00022866	11 63864639 63865026
cg00024396	6 53320293 53322233
cg00024812	2 9480121 9481916
cg00025138	14 70344901 70346438
cg00025991	10 726609 726816
cg00027083	18 5532741 5534303
cg00027674	11 87547744 87548663
cg00029931	X 100532246 100532948
cg00030047	1 6190892 6192286
cg00032227	17 70283664 70284536
cg00033516	4 38340949 38343239
cg00034039	9 73714799 73716688
cg00035623	19 60610386 60611772
cg00040861	19 2279081 2280503
cg00040873	16 1949070 1950268
cg00041575	11 2279186 2279450
cg00043004	16 1968853 1971062
cg00043080	19 45544942 45545333
cg00044245	6 94184813 94186481
cg00047050	11 107384568 107385770
cg00047469	9 115211989 115213068
cg00049986	14 34660693 34661889
cg00050312	17 61728431 61730704
cg00051979	10 95451797 95452738
cg00053292	17 59031728 59032596
cg00053647	7 6831874 6832815
cg00054706	2 68143432 68143878
cg00055233	9 5328869 5329825
cg00056767	13 43351060 43352453
cg00057593	8 143913707 143914018
cg00059225	5 151284294 151285499
cg00059424	22 29317492 29318619
cg00059740	7 134505281 134506466
cg00059930	13 47792306 47793951
cg00060762	15 50050679 50052347
cg00060882	X 23982243 23983393
cg00061059	19 14500498 14502147
cg00061629	11 44281312 44281846
cg00062776	19 54093753 54094543
cg00065408	12 47498031 47499203
cg00066816	5 158690870 158691513
cg00067471	19 1192361 1194023
cg00069261	16 22292441 22294185
cg00071998	6 31815308 31816674
cg00072216	4 2232724 2234492
cg00076645	5 171642475 171644347
cg00077457	1 90232439 90232665
cg00078194	11 46358460 46360881
cg00078867	X 48427234 48427469
cg00079563	22 41582136 41584116
cg00080012	11 85633030 85634720
cg00081935	12 3055745 3057325
cg00081975	17 46066791 46067798
cg00083720	20 17497541 17499559
cg00083937	22 49384789 49386716
cg00084687	7 91914078 91915504
cg00089071	17 34157183 34159942
cg00090147	8 11598711 11600557
cg00094319	13 24567943 24568646
cg00094851	2 26058316 26059678
cg00095674	1 148388128 148389876
cg00096922	7 96490825 96492388
cg00097536	2 43304689 43308648
cg00098239	19 7504300 7507429
cg00099550	10 43222491 43225621
cg00103783	17 7426927 7429052
cg00105253	14 104718192 104719088
cg00105470	1 226356160 226358366
cg00107187	14 104141516 104142673
cg00107632	4 37504406 37505582
cg00109274	13 41519586 41521665
cg00113020	19 59865129 59865357
cg00113951	12 119562471 119563916
cg00115714	6 111301896 111304468
cg00116838	19 50693525 50694989
cg00117172	1 25127692 25131906
cg00119079	3 184362836 184365140
cg00121158	9 6747243 6749030
cg00121640	9 119214912 119217475
cg00121904	X 43626214 43626874
cg00123035	1 149585810 149586785
cg00126034	17 42250661 42252109
cg00128197	X 53477634 53478316
cg00128654	14 89867780 89868430
cg00128766	1 46956670 46957806
cg00128877	1 46842054 46842888
cg00129774	12 54646626 54647300
cg00131121	7 101905560 101906748
cg00131557	13 42494572 42494803
cg00133909	15 71763416 71764536
cg00135056	3 130479918 130481447
cg00136105	12 100748121 100749124
cg00136736	22 28279363 28280020
cg00141162	3 122862350 122862567
cg00143376	2 232102869 232103780
cg00143998	1 226711423 226714091
cg00145348	X 55042997 55044182
cg00146096	11 22603124 22604113
cg00149659	3 10131593 10133050
cg00149976	3 129023934 129025236
cg00151234	X 77245851 77247180
cg00151607	16 87450084 87451636
cg00155167	8 100094185 100095210
cg00155485	12 115198514 115200626
cg00155609	19 12772782 12774060
cg00156216	11 129443634 129446273
cg00156744	5 171546926 171548679
cg00162401	6 52967355 52969129
cg00164041	4 89596390 89598226
cg00164898	22 49050256 49052718
cg00165981	5 74842164 74843876
cg00167504	7 43764229 43765485
cg00168082	9 132577277 132579149
cg00168785	2 159850758 159852121
cg00171126	21 39673844 39674770
cg00171161	4 88562342 88563334
cg00176210	8 41773929 41775251
cg00176879	20 2791411 2791616
cg00177013	20 61808609 61811354
cg00177698	17 43373577 43374274
cg00177923	8 30071995 30073279
cg00178790	18 13715841 13717430
cg00179446	X 118870555 118871381
cg00180012	6 108722472 108723166
cg00180631	X 149487224 149488471
cg00182461	2 201461437 201462585
cg00183916	17 14144517 14148736
cg00184884	22 30221926 30223194
cg00185839	11 794772 796159
cg00186141	7 130890765 130892512
cg00186701	8 98358472 98359735
cg00187380	12 52712802 52715131
cg00188348	11 65525051 65525589
cg00194146	6 13594141 13597231
cg00197381	5 137701170 137702293
cg00197641	14 22369247 22369463
cg00199549	22 34125141 34127172
cg00200063	17 55823701 55825121
cg00201234	3 13565308 13566364
cg00202702	11 101423103 101423893
cg00202711	X 113724646 113726041
cg00204262	19 44014982 44015755
cg00206052	10 103337568 103338332
cg00207534	16 70486249 70487758
cg00208967	19 9908693 9909096
cg00209951	1 115013625 115014939
cg00210842	12 97561659 97563710
cg00213714	9 118489047 118489861
cg00214346	17 64019294 64021151
cg00214855	6 13921830 13923092
cg00216361	3 116824820 116825288
cg00216758	11 550330 551726
cg00217795	14 79747335 79747567
cg00221494	13 97592322 97594649
cg00223186	1 178737843 178739044
cg00223950	1 19408619 19409783
cg00224234	17 631822 633084
cg00226904	18 59308015 59308744
cg00228799	9 130619231 130621779
cg00230271	4 107456550 107457437
cg00230368	6 160309645 160311025
cg00230502	12 118256646 118257076
cg00230685	X 17664830 17666695
cg00231140	18 45593287 45595054
cg00231644	6 3101855 3103599
cg00231920	20 2768386 2770088
cg00233307	19 43800902 43801978
cg00234616	2 74593784 74597576
cg00234961	22 48631731 48634537
cg00238052	X 101266930 101267887
cg00239685	3 39123140 39124712
cg00240312	16 67328348 67330000
cg00240432	7 19122442 19124663
cg00241355	12 6513372 6514989
cg00243313	5 1934753 1937496
cg00247489	1 205693976 205695000
cg00250430	9 1041412 1043248
cg00253200	3 194116889 194118860
cg00256166	15 84138113 84139588
cg00256281	22 40315173 40316543
cg00259755	10 134059284 134061280
cg00260778	10 15178782 15180947
cg00261552	12 12655663 12656627
cg00261781	2 20075437 20076271
cg00262415	1 1232006 1234991
cg00263760	10 118885881 118888114
cg00265415	1 233733551 233735660
cg00265490	8 98724896 98726598
cg00268009	4 100228491 100229260
cg00268338	10 93159112 93160860
cg00269115	1 23567239 23568763
cg00273068	20 39427979 39429312
cg00273124	5 177512400 177514565
cg00274399	13 21140893 21143530
cg00275232	19 50270891 50271883
cg00276797	10 105715755 105717859
cg00278366	12 109423611 109424819
cg00282347	1 6161731 6163979
cg00282683	7 156623773 156625371
cg00288562	7 23537186 23539238
cg00290028	13 36291043 36292272
cg00290506	1 222870113 222872558
cg00291877	15 99652352 99653603
cg00293409	3 197850472 197851449
cg00295206	3 129927452 129928610
cg00296685	6 30983195 30984459
cg00297584	12 115455322 115455717
cg00298951	12 107257760 107257967
cg00301864	12 119038275 119039969
cg00302793	4 102485829 102488947
cg00303548	13 95540017 95542206
cg00304278	17 57909013 57911094
cg00308133	19 1351949 1352937
cg00309056	7 38183900 38185055
cg00309204	17 7247845 7249717
cg00312919	7 38183900 38185055
cg00315936	7 127078181 127080079
cg00317680	8 97342649 97344229
cg00318573	20 61462528 61464052
cg00318865	12 50631093 50632275
cg00319761	16 2969706 2971908
cg00320243	19 18174780 18176317
cg00321065	1 40399360 40400237
cg00324733	11 17254226 17255295
cg00327185	11 111400618 111401809
cg00328227	1 109004688 109005982
cg00331237	12 75796370 75797744
cg00331433	X 16647403 16647959
cg00332153	4 102930744 102931523
cg00332745	16 65765313 65766496
cg00333226	7 49783381 49786431
cg00336605	19 55571196 55572249
cg00338702	12 131973620 131975130
cg00338893	7 140360926 140361518
cg00340102	20 33592837 33593566
cg00343092	22 41877019 41878182
cg00344709	21 13903420 13904196
cg00346145	4 109760829 109761647
cg00347904	6 35288946 35290652
cg00350702	20 33592837 33593566
cg00351011	19 8179442 8181289
cg00354258	19 61998334 61999073
cg00354572	12 79995525 79996362
cg00355802	8 29261241 29266871
cg00359325	3 49352231 49353294
cg00359973	X 53465500 53466937
cg00363813	12 6534300 6535831
cg00365193	6 2944147 2946114
cg00367438	7 150410529 150411849
cg00368022	5 31567403 31568710
cg00368415	1 149850872 149852255
cg00375964	4 146238368 146239429
cg00376639	19 60845509 60847363
cg00380464	6 144205630 144206671
cg00381076	18 50137806 50139133
cg00382515	2 224530069 224530950
cg00382991	15 82688907 82690094
cg00386408	5 135392351 135393108
cg00387170	6 41621573 41624345
cg00393585	4 166097363 166098038
cg00394658	11 47957874 47959889
cg00396163	2 84596825 84597345
cg00397545	19 50109252 50109549
cg00397740	1 159402295 159403660
cg00399483	18 48122009 48122893
cg00400028	3 142432491 142434965
cg00400263	20 57947345 57949206
cg00401678	19 14648104 14648551
cg00402366	1 74436070 74436782
cg00404599	X 106904910 106905295
cg00405070	12 110934469 110936627
cg00405568	17 40493425 40494516
cg00410419	13 75009496 75010455
cg00410576	15 50098369 50099652
cg00413066	15 50191302 50192847
cg00415164	11 44283505 44284554
cg00415978	4 120029225 120029718
cg00417297	3 40493273 40494049
cg00418150	11 44283505 44284554
cg00419564	1 151774923 151775537
cg00420568	9 90984626 90985338
cg00420715	8 100094185 100095210
cg00420929	19 18312043 18312793
cg00422913	17 1565628 1566904
cg00424946	16 67778091 67779667
cg00425710	16 55229309 55230226
cg00425792	17 30929274 30930217
cg00426056	6 33493131 33494313
cg00426498	17 24530942 24531831
cg00426963	9 85725444 85726518
cg00429618	9 99001831 99002323
cg00430945	19 54309109 54310497
cg00431050	10 103975717 103976396
cg00432979	13 20648189 20649468
cg00434413	X 152853045 152855277
cg00435408	16 55776830 55778529
cg00436301	6 116528260 116529339
cg00441136	20 30328221 30328585
cg00441382	15 72071132 72071973
cg00445824	19 18407006 18410264
cg00446235	1 159274828 159275626
cg00448720	13 23780072 23781046
cg00449941	17 23949719 23951165
cg00453193	7 115637517 115638951
cg00459975	8 28803923 28805189
cg00462994	17 39437410 39438278
cg00463202	13 113155311 113155833
cg00463577	6 74217728 74219676
cg00464269	17 23686088 23687616
cg00465284	2 80384714 80385520
cg00465846	8 125555536 125557227
cg00466249	17 76884351 76884564
cg00466492	19 7895314 7897758
cg00466544	14 56115835 56116669
cg00468146	6 19944898 19947482
cg00469635	11 73559258 73560445
cg00471562	10 1091673 1093370
cg00472814	21 27137616 27140073
cg00474209	6 170439971 170443312
cg00475955	9 130631460 130632216
cg00476580	1 148473407 148474609
cg00479269	2 101235138 101236595
cg00480209	17 10541005 10542106
cg00480356	15 41879712 41880502
cg00481227	20 35755436 35756193
cg00483154	5 176875954 176877302
cg00485296	16 1760150 1764076
cg00485380	7 26205840 26208732
cg00487159	16 11255994 11258397
cg00488718	4 129104666 129106616
cg00489401	5 180008152 180010059
cg00491839	19 54066224 54067862
cg00493400	2 191586489 191587612
cg00495415	12 52059897 52061295
cg00495442	20 36534397 36535346
cg00495491	12 26713716 26714261
cg00496170	14 66895473 66897466
cg00497251	2 241155861 241157458
cg00498305	10 118990170 118991650
cg00498604	4 167013042 167013329
cg00499599	21 46530003 46531169
cg00499822	10 44199096 44202554
cg00500400	22 39817040 39819180
cg00502442	6 157720885 157723510
cg00503458	1 154170401 154171084
cg00503840	7 96487969 96489640
cg00509616	15 55671140 55671777
cg00509670	14 36199815 36200327
cg00510787	6 151814600 151815803
cg00511475	16 87764778 87765944
cg00512279	10 118990170 118991650
cg00512374	17 35852712 35853865
cg00513220	1 218987731 218988980
cg00513467	9 21324803 21325711
cg00514407	2 224611391 224613168
cg00514895	4 8645191 8645719
cg00516481	21 42946154 42947773
cg00518989	22 29937851 29938693
cg00519627	16 4405712 4407051
cg00520135	15 61120810 61121032
cg00521598	1 39110914 39112118
cg00522034	3 107069713 107071058
cg00522316	19 6375152 6376920
cg00524288	7 48094820 48096626
cg00528052	1 201042549 201044511
cg00528967	13 98026158 98028015
cg00537910	2 219792723 219792986
cg00539716	2 48394666 48396212
cg00540544	1 199742346 199743316
cg00540769	5 80725157 80726371
cg00542846	21 26463578 26465493
cg00545573	12 117294551 117295541
cg00546491	7 32076278 32077689
cg00547018	16 5061574 5062435
cg00547789	X 154146374 154147208
cg00547829	17 55324706 55326039
cg00548268	7 98083575 98085970
cg00551244	8 125252840 125253126
cg00554682	2 185171002 185172108
cg00557354	13 110564691 110566860
cg00559473	12 52001336 52002435
cg00560119	9 129413751 129415704
cg00563229	1 28157517 28159572
cg00563845	3 58293322 58294326
cg00563926	1 92122923 92125193
cg00564163	7 87773887 87774392
cg00565075	22 36574299 36576077
cg00565688	1 3556965 3559547
cg00566759	18 26934688 26936548
cg00567479	2 241943520 241945004
cg00567749	5 82803218 82803679
cg00568128	10 115923300 115924763
cg00568792	11 124967457 124968616
cg00569620	3 113180107 113181019
cg00571634	3 123617271 123618068
cg00572797	1 25106952 25107518
cg00576250	20 44520946 44521581
cg00577464	7 155297115 155298010
cg00578575	8 171695 173047
cg00581156	5 61734937 61736330
cg00582372	X 16578542 16578783
cg00584022	12 25294308 25295937
cg00585846	6 31623086 31623467
cg00586909	6 20642595 20642864
cg00594118	9 139268748 139270447
cg00597076	17 1342450 1342678
cg00598858	19 11406768 11407962
cg00600110	X 8729086 8729604
cg00601486	12 47009414 47010208
cg00602891	17 78001396 78002256
cg00603172	2 242146490 242147939
cg00609097	1 45728516 45729824
cg00612467	4 109130117 109131089
cg00615377	22 34566535 34566761
cg00615915	18 59788171 59789017
cg00616129	12 10717606 10718675
cg00616369	2 232036571 232039010
cg00617305	1 200124397 200124974
cg00618396	X 154097547 154098494
cg00620024	9 126992700 126992979
cg00620223	1 212842815 212843683
cg00620629	6 117096446 117097031
cg00620857	14 73126775 73129376
cg00622677	4 99797550 99799740
cg00625425	1 62558097 62558685
cg00625653	3 13894306 13897604
cg00626466	12 63440187 63440554
cg00627286	4 39204770 39206279
cg00630164	1 41021434 41023006
cg00630249	1 109837904 109838471
cg00630583	12 131772493 131776302
cg00631230	12 121316344 121317350
cg00634577	6 27906431 27907527
cg00635481	6 35334553 35336300
cg00636639	9 124066495 124067202
cg00638514	17 70443189 70444298
cg00642303	3 196644003 196645486
cg00643392	19 12807041 12808465
cg00645224	7 73904757 73906475
cg00645579	11 607125 607847
cg00645922	5 114989097 114990165
cg00646140	X 2855971 2857749
cg00646492	10 106004162 106005144
cg00648153	6 74419674 74420923
cg00650762	1 22909369 22911162
cg00650876	1 42919945 42921770
cg00651216	6 44321646 44323854
cg00653387	7 136678915 136679217
cg00654814	17 72375680 72377919
cg00655307	6 152170010 152172178
cg00655779	2 73313543 73315653
cg00657095	6 35418037 35418812
cg00657582	14 20974718 20974923
cg00658626	12 109768778 109769574
cg00659953	16 710573 712450
cg00661202	3 14140551 14142142
cg00661485	5 169465816 169466196
cg00662556	18 73090255 73093032
cg00662775	X 102726894 102727949
cg00665395	2 219283337 219284462
cg00666446	1 245308044 245308919
cg00666746	19 15078776 15079720
cg00669623	1 1644546 1646532
cg00669856	4 124537223 124537517
cg00671161	13 51483153 51484760
cg00672638	5 142129339 142131285
cg00674922	3 18440623 18442792
cg00676660	3 64645968 64647730
cg00677811	7 45005012 45006915
cg00678539	15 54544353 54544942
cg00679738	1 229241541 229243791
cg00682653	14 67210647 67211900
cg00685836	12 80676263 80677619
cg00686022	12 38306053 38306365
cg00686623	11 64705112 64705909
cg00687686	16 57054464 57056258
cg00688421	4 99400488 99402531
cg00689340	2 74521537 74523151
cg00690893	X 13616881 13617663
cg00691625	9 126309430 126309676
cg00692549	1 10994361 10995982
cg00693307	11 118330987 118331213
cg00695416	21 36363944 36364738
cg00696900	2 85618673 85620635
cg00702231	6 144370510 144371695
cg00702729	7 99595582 99595921
cg00704310	19 38977945 38981522
cg00704909	11 14477316 14478187
cg00707317	1 181652477 181654409
cg00708598	13 52210712 52212131
cg00708642	14 102869084 102871607
cg00711916	2 96789956 96791316
cg00712898	1 109036114 109037502
cg00717862	3 187770544 187771520
cg00718440	9 21983444 21986348
cg00718748	17 16497285 16498105
cg00720072	10 94040342 94042025
cg00720137	16 79132091 79132881
cg00720723	2 202838121 202839602
cg00724662	11 62328965 62329996
cg00725143	17 42962675 42964326
cg00725777	X 102516452 102517083
cg00727947	19 59516570 59517001
cg00728317	16 55248970 55249632
cg00728398	1 37751928 37753519
cg00729541	9 130838221 130839507
cg00729708	15 98901825 98902776
cg00731459	2 239986581 239988985
cg00733682	19 12265979 12267261
cg00734993	6 37060678 37062622
cg00736326	7 98761005 98762002
cg00737514	4 37567883 37569855
cg00739120	19 40727497 40728997
cg00743372	6 28217187 28218075
cg00744433	21 17805506 17805957
cg00746083	14 20975209 20975624
cg00746130	6 31778376 31779862
cg00746981	1 154987066 154988971
cg00747849	22 17544965 17546925
cg00751288	5 130534170 130534775
cg00754617	19 53801096 53801300
cg00755043	9 90338567 90341020
cg00756058	13 95093824 95095248
cg00761755	17 1477730 1480095
cg00762512	4 39136382 39137377
cg00763679	2 241902812 241904808
cg00766729	19 60827316 60828354
cg00766889	10 13429037 13431516
cg00767581	2 176723073 176723586
cg00768439	X 92814565 92815598
cg00769520	12 22377615 22380091
cg00770279	19 10540024 10542468
cg00770871	12 2869784 2871077
cg00772000	6 18230039 18231226
cg00775197	6 44372906 44373799
cg00777121	3 50352707 50353696
cg00777555	3 57557573 57558836
cg00778920	11 60429904 60431035
cg00779924	10 8130632 8134925
cg00782174	19 51982321 51984055
cg00782854	20 29773884 29774535
cg00783759	4 129201183 129203091
cg00784357	7 6379745 6381810
cg00791249	19 10287036 10287894
cg00792687	8 33489395 33489699
cg00792740	15 23234149 23235624
cg00792849	15 32833627 32834868
cg00793774	10 104391638 104395149
cg00795812	2 242450515 242450972
cg00796728	11 93916413 93918724
cg00798206	3 38180722 38183351
cg00800095	X 151974637 151974839
cg00804048	17 7150110 7152835
cg00804392	4 39874836 39875043
cg00806490	16 81217810 81219323
cg00807586	3 38055509 38056613
cg00810473	15 62230536 62232047
cg00810495	1 84717429 84718095
cg00811081	12 46385429 46386315
cg00812502	22 17488901 17490496
cg00814580	19 50372534 50375107
cg00815440	19 34395254 34396254
cg00815583	8 28403582 28404118
cg00815605	14 73105593 73107289
cg00818693	3 181802145 181803226
cg00818872	1 152806551 152807339
cg00819696	12 55128066 55129661
cg00821764	3 125931740 125932656
cg00822607	16 30490076 30491410
cg00824109	12 6585760 6587229
cg00825031	8 17148066 17149219
cg00826384	7 121300103 121301273
cg00827369	7 73225901 73227446
cg00828602	3 55495094 55498534
cg00830393	3 66632601 66634811
cg00831028	20 54476607 54477414
cg00832517	14 30995826 30996675
cg00832994	1 46906182 46907097
cg00833393	9 35721632 35722630
cg00836605	7 28185482 28187256
cg00837103	20 60917428 60917826
cg00838150	3 69871046 69872076
cg00839802	6 119710831 119713242
cg00841581	3 137952765 137954777
cg00842351	9 70978317 70979512
cg00848394	3 52162971 52164293
cg00848397	17 32022012 32023006
cg00848728	1 58487718 58488900
cg00849368	5 94916038 94917087
cg00850538	2 36435525 36438604
cg00853068	17 40654323 40655671
cg00854637	16 66397610 66399202
cg00854995	5 133539719 133541514
cg00856375	2 161872807 161873530
